timestamps,TP9,AF7,AF8,TP10,Right AUX
1533044853.336,496.7520490510654,532.099382684557,473.8371054980833,459.4577723430545,428.00530989784835
1533044853.339,607.1421782811101,645.6895056374675,574.3506800399097,508.5604586830392,832.7191930091077
1533044853.343,545.0481721497268,657.6521606040509,638.9728509163472,536.6170843184956,955.0081281190326
1533044853.3470001,465.7085784695092,579.9255140043875,624.6074673108229,522.5887715007674,823.9834172174147
1533044853.351,417.41245537084774,544.0497933778889,574.3506800399097,484.0091155130468,780.3105012458383
1533044853.355,524.3548800847797,514.1615223713077,430.77036181273957,487.51439797851094,634.7301393493245
1533044853.359,672.6909538968767,448.39753073822766,481.0271490836528,617.2888617152727,658.0215661359135
1533044853.363,555.3983506663359,508.1863170246416,624.6074673108229,575.1967403062162,806.5178286209173
1533044853.367,413.964750854735,538.0745880312229,624.6074673108229,441.9241770598622,832.7191930091077
1533044853.371,396.7120983376298,544.0497933778889,466.6617654781285,434.9064291730622,681.318955909391
1533044853.375,448.45592595240396,538.0745880312229,344.60746731082287,399.83205565080567,625.9943635576316
1533044853.379,551.9506461502231,514.1615223713077,409.22963818726043,417.37283388986987,748.2832986675564
1533044853.3820002,551.9506461502231,538.0745880312229,545.6346163944756,487.51439797851094,911.3352121474561
1533044853.3860002,514.0047015681706,526.1119330646395,574.3506800399097,522.5887715007674,704.61038269598
1533044853.39,417.41245537084774,538.0745880312229,581.5407236254791,508.5604586830392,486.2398398512093
1533044853.394,407.06227685423875,526.1119330646395,545.6346163944756,476.99855058211864,541.5584692160802
1533044853.3979998,576.0987076995539,502.19886740472435,560.0,512.0657411485033,611.4387125627356
1533044853.4020002,555.3983506663359,502.19886740472435,603.0814472509584,522.5887715007674,669.6732425160965
1533044853.4060001,431.2103384035695,526.1119330646395,588.716063645434,512.0657411485033,823.9834172174147
1533044853.41,376.0188062726825,567.9628590378042,524.0938927689965,462.96305480851856,911.3352121474561
1533044853.414,407.06227685423875,561.9876536911382,394.8642545817361,375.28071248081335,748.2832986675564
1533044853.418,541.6004676336141,490.2484567113923,351.7975108963924,392.8214907198775,588.1472857761466
1533044853.421,545.0481721497268,478.28580174480896,430.77036181273957,420.87811635533393,643.4659151410175
1533044853.425,462.26087395339647,460.3479414315596,560.0,462.96305480851856,952.0981905174311
1533044853.429,413.964750854735,460.3479414315596,538.4592763745209,484.0091155130468,890.9537229624686
1533044853.4329998,420.8601598869605,442.4223253915616,588.716063645434,424.38339882079805,535.7385940128772
1533044853.437,545.0481721497268,388.6087444518137,674.8642545817361,441.9241770598622,637.6400769509261
1533044853.441,555.3983506663359,340.7826131319831,746.6617654781285,484.0091155130468,1033.624147257381
1533044853.445,486.40893550272716,376.6460894852304,667.6889145617812,508.5604586830392,1051.0897358538784
1533044853.449,472.6039875017347,394.58394979847975,488.2024891036076,505.0551762175751,867.6622961758798
1533044853.4529998,458.80610446901295,340.7826131319831,459.4864254581736,427.895864242134,669.6732425160965
1533044853.457,569.1962336990575,334.79516351206576,358.9728509163472,417.37283388986987,707.5203202975814
1533044853.461,617.492356797719,376.6460894852304,409.22963818726043,448.93474199079037,873.4821713790827
1533044853.464,507.1022275676744,406.546604765063,646.1481909363021,434.9064291730622,969.5637791139285
1533044853.468,465.7085784695092,394.58394979847975,588.716063645434,434.9064291730622,992.861168887406
1533044853.4720001,417.41245537084774,460.3479414315596,488.2024891036076,434.9064291730622,681.318955909391
1533044853.476,510.5569970520579,448.39753073822766,452.31108543821875,417.37283388986987,544.4684068176816
1533044853.48,614.0446522816063,430.4596704249783,488.2024891036076,431.40114670759806,797.7820528292243
1533044853.484,541.6004676336141,532.099382684557,581.5407236254791,494.53214586531095,946.2723523273396
1533044853.488,462.26087395339647,550.0372429978063,603.0814472509584,505.0551762175751,972.4796797024186
1533044853.492,376.0188062726825,538.0745880312229,495.3778291235625,427.895864242134,730.8117470841704
1533044853.496,469.15628298562194,496.22366205805827,366.14819093630206,452.4472074121263,628.9102641461216
1533044853.5,548.5029416341104,472.31059639814293,516.9185527490416,533.1118018530316,920.0709879391492
1533044853.504,451.9106954367875,514.1615223713077,703.5803182271701,543.6348322052957,992.861168887406
1533044853.5070002,396.7120983376298,538.0745880312229,603.0814472509584,522.5887715007674,1024.888371465688
1533044853.5110002,320.82020917352486,544.0497933778889,538.4592763745209,476.99855058211864,949.182289928941
1533044853.515,386.3619198210208,496.22366205805827,488.2024891036076,431.40114670759806,678.403055320901
1533044853.519,517.4524060842834,490.2484567113923,502.56787270913196,452.4472074121263,771.5747254541453
1533044853.5229998,438.1128124040657,556.0124483444722,610.2567872709132,505.0551762175751,943.3624147257381
1533044853.5270002,389.8166893054043,550.0372429978063,617.432127290868,526.1012369221033,1033.624147257381
1533044853.5310001,372.56403678829906,603.8385796643029,452.31108543821875,480.50383304758276,896.7735981656716
1533044853.535,424.30786440307327,639.7143002908016,387.68891456178125,424.38339882079805,559.0300207994661
1533044853.539,576.0987076995539,627.7516453242182,516.9185527490416,498.03742833077507,529.9127558227857
1533044853.543,534.7050586013886,669.6025712973828,581.5407236254791,599.7480834762085,754.1091368576479
1533044853.546,455.3583999529002,687.5404316106321,631.7975108963924,582.2144881930162,806.5178286209173
1533044853.55,403.61457233812604,753.3044232437121,667.6889145617812,512.0657411485033,666.7573419276065
1533044853.554,434.65804291968226,789.1801438702108,682.0542981673055,494.53214586531095,838.5450311991992
1533044853.5579998,631.2902398304408,717.4287026172134,509.7432127290868,498.03742833077507,748.2832986675564
1533044853.562,593.3442952483883,699.5030865772154,495.3778291235625,480.50383304758276,690.0487687141955
1533044853.566,458.80610446901295,729.3913575837968,782.567872709132,519.0834890353033,966.6538415123271
1533044853.57,451.9106954367875,717.4287026172134,768.2024891036076,526.1012369221033,847.2808069908923
1533044853.574,472.6039875017347,705.4782919238814,603.0814472509584,480.50383304758276,646.375852742619
1533044853.5779998,617.492356797719,675.5900209173002,660.5135745418264,533.1118018530316,774.4906260426353
1533044853.582,610.5969477654935,657.6521606040509,775.3778291235625,561.168427488488,893.8636605640702
1533044853.586,517.4524060842834,669.6025712973828,761.0271490836528,571.691457840752,931.7167013324436
1533044853.589,445.00822143629125,669.6025712973828,610.2567872709132,512.0657411485033,838.5450311991992
1533044853.593,420.8601598869605,633.7390949441356,581.5407236254791,441.9241770598622,821.0734796158133
1533044853.5970001,565.7485291829448,561.9876536911382,545.6346163944756,480.50383304758276,806.5178286209173
1533044853.601,555.3983506663359,609.8137850109688,588.716063645434,480.50383304758276,821.0734796158133
1533044853.605,465.7085784695092,681.5652262639661,761.0271490836528,519.0834890353033,1004.5068822807006
1533044853.609,451.9106954367875,675.5900209173002,761.0271490836528,536.6170843184956,914.2451497490576
1533044853.613,417.41245537084774,657.6521606040509,696.4049782072152,462.96305480851856,658.0215661359135
1533044853.617,576.0987076995539,621.7764399775522,610.2567872709132,512.0657411485033,815.2536044126103
1533044853.621,665.7884798963804,585.9007193510536,696.4049782072152,613.7835792498086,1071.471225038866
1533044853.625,503.6545230515616,591.8881689709709,796.9185527490416,592.7375185452803,856.0165827825853
1533044853.6279998,438.1128124040657,639.7143002908016,753.8371054980832,550.6453971362238,623.08442595603
1533044853.6320002,413.964750854735,687.5404316106321,696.4049782072152,543.6348322052957,561.9399584010677
1533044853.6360002,496.7520490510654,663.6273659507168,646.1481909363021,533.1118018530316,483.3299022496078
1533044853.64,562.3008246668321,615.8012346308861,660.5135745418264,536.6170843184956,733.7276476726604
1533044853.644,493.3043445349527,621.7764399775522,746.6617654781285,515.5782065698393,1033.624147257381
1533044853.6479998,482.9541660183437,603.8385796643029,696.4049782072152,501.549893752111,844.3649064024022
1533044853.6520002,458.80610446901295,615.8012346308861,646.1481909363021,484.0091155130468,471.6782258694248
1533044853.6560001,510.5569970520579,585.9007193510536,588.716063645434,473.4860851607827,291.16072379302756
1533044853.66,562.3008246668321,514.1615223713077,631.7975108963924,480.50383304758276,765.7548502509424
1533044853.664,465.7085784695092,520.1367277179736,782.567872709132,498.03742833077507,1016.1525956739949
1533044853.668,427.76263388745673,520.1367277179736,739.4864254581736,487.51439797851094,695.8746069042869
1533044853.671,362.21385827169007,496.22366205805827,696.4049782072152,420.87811635533393,570.6757341927606
1533044853.675,451.9106954367875,478.28580174480896,660.5135745418264,431.40114670759806,588.1472857761466
1533044853.679,569.1962336990575,466.33539105147696,631.7975108963924,480.50383304758276,739.5475228758634
1533044853.6829998,520.9001106003961,412.521810111729,660.5135745418264,484.0091155130468,940.4524771241366
1533044853.687,451.9106954367875,376.6460894852304,710.7703618127396,431.40114670759806,899.6894987541617
1533044853.691,393.26439382151705,418.49701545839497,689.2296381872604,410.3550860030698,663.8474043260051
1533044853.695,507.1022275676744,388.6087444518137,545.6346163944756,424.38339882079805,593.9671609793496
1533044853.699,669.2361844124932,310.8820978521505,516.9185527490416,501.549893752111,561.9399584010677
1533044853.7029998,565.7485291829448,292.9564818121525,732.3110854382188,554.1578625575597,754.1091368576479
1533044853.707,507.1022275676744,263.05596653231976,696.4049782072152,519.0834890353033,940.4524771241366
1533044853.711,503.6545230515616,239.1429008724045,624.6074673108229,487.51439797851094,707.5203202975814
1533044853.714,517.4524060842834,215.2298352124892,617.432127290868,452.4472074121263,486.2398398512093
1533044853.718,624.3948307982153,197.29197489923988,617.432127290868,487.51439797851094,675.4931177192994
1533044853.7220001,558.8460551824486,221.2050405591552,703.5803182271701,526.1012369221033,969.5637791139285
1533044853.726,479.50646150223093,221.2050405591552,696.4049782072152,508.5604586830392,1019.0625332755965
1533044853.73,434.65804291968226,191.3167695525739,524.0938927689965,469.98080269531863,867.6622961758798
1533044853.734,427.76263388745673,167.4037038926586,402.05429816730555,413.86755142440575,716.2560960892745
1533044853.738,569.1962336990575,251.10555583898787,409.22963818726043,431.40114670759806,707.5203202975814
1533044853.742,614.0446522816063,292.9564818121525,524.0938927689965,547.1401146707598,1007.416819882302
1533044853.746,510.5569970520579,179.35411458599057,710.7703618127396,557.6631450230238,1001.596944679099
1533044853.75,327.7226831740211,119.56532829957655,840.0,406.84980353760574,716.2560960892745
1533044853.7529998,300.11985214030693,179.35411458599057,761.0271490836528,333.19577402762866,658.0215661359135
1533044853.7570002,514.0047015681706,203.26718024590588,739.4864254581736,413.86755142440575,628.9102641461216
1533044853.7610002,538.1527631175013,227.18024590582112,825.6346163944756,494.53214586531095,864.7463955873897
1533044853.765,441.5605169201785,286.96903219223515,789.7432127290868,473.4860851607827,1059.8255116455714
1533044853.769,400.1668678220133,280.9938268455692,804.0938927689965,431.40114670759806,835.6350935975978
1533044853.7729998,424.30786440307327,298.9316871588185,761.0271490836528,406.84980353760574,480.41400166111777
1533044853.7770002,593.3442952483883,346.7578184786491,588.716063645434,413.86755142440575,608.5287749611341
1533044853.7810001,627.842535314328,322.8447528187338,574.3506800399097,448.93474199079037,812.3377038241202
1533044853.785,476.05875698611817,322.8447528187338,732.3110854382188,476.99855058211864,774.4906260426353
1533044853.789,389.8166893054043,298.9316871588185,804.0938927689965,501.549893752111,812.3377038241202
1533044853.793,355.3184492394646,286.96903219223515,732.3110854382188,459.4577723430545,911.3352121474561
1533044853.796,479.50646150223093,304.90689250548445,638.9728509163472,438.41889459439807,823.9834172174147
1533044853.8,572.651003183441,334.79516351206576,717.9457018326945,498.03742833077507,893.8636605640702
1533044853.804,507.1022275676744,364.69567879189844,703.5803182271701,526.1012369221033,1001.596944679099
1533044853.8079998,434.65804291968226,376.6460894852304,610.2567872709132,508.5604586830392,890.9537229624686
1533044853.812,386.3619198210208,424.4844650783123,560.0,484.0091155130468,637.6400769509261
1533044853.816,517.4524060842834,430.4596704249783,552.8246599800451,487.51439797851094,489.1497774528108
