timestamps,TP9,AF7,AF8,TP10,Right AUX
1533059192.4989998,683.0856482697054,840.0,990.3188393299847,437.71064484235967,807.6944283988865
1533059192.5029998,627.6952160899018,768.5145322236262,937.2608705025115,424.8313742722179,1020.3851809063696
1533059192.5070002,566.1544924644227,786.3767484421979,937.2608705025115,463.4560035153246,1020.3851809063696
1533059192.5110002,443.08564826970553,840.0,866.5289844137365,437.71064484235967,1211.5388856797772
1533059192.515,516.9269547865357,857.8622162185716,725.0652122361869,405.51905965066453,1305.7703618127393
1533059192.519,707.699417108649,911.4854677763738,725.0652122361869,411.95210370207616,1327.3074095468148
1533059192.522,676.9227537677888,893.6232515578021,707.3912949748853,437.71064484235967,955.7685238670375
1533059192.526,492.3131859475923,840.0,618.9492745812404,379.7737009776996,839.9999999999998
1533059192.53,332.31738696633937,857.8622162185716,618.9492745812404,251.03372514555633,893.8481331722941
1533059192.534,449.235939715381,893.6232515578021,636.6594088861103,283.2253103372514,858.8462952265922
1533059192.5379999,640.0084020374941,857.8622162185716,672.0072434087136,354.0283423047346,1111.9203906947432
1533059192.542,547.7036181273959,822.1377837814284,778.1231810636601,360.46138635614625,1173.8462952265922
1533059192.546,455.38623116105657,965.1087193341758,813.4710155862632,334.7160276831813,635.3870188520714
1533059192.55,350.7808643596073,893.6232515578021,778.1231810636601,276.7922662858398,465.7703618127394
1533059192.554,467.69941710864884,857.8622162185716,760.4492638023586,302.53762495880466,977.3055716011131
1533059192.5579998,689.2359397153809,1054.456403329121,689.6811606700153,392.65297154784133,848.0777713595545
1533059192.562,627.6952160899018,1125.9784740075822,548.2173884924656,399.08601559925296,971.924066586147
1533059192.565,541.5407236254791,1179.5651226632967,548.2173884924656,360.46138635614625,1364.9999999999998
1533059192.569,375.3946331985507,1054.456403329121,530.543471231164,328.2829836317697,1111.9203906947432
1533059192.573,455.38623116105657,1054.456403329121,406.7536163149158,321.84993958035807,985.3833429606677
1533059192.5770001,670.7724623221131,1197.4639417839558,512.8695539698623,347.595298253323,980.0018379457016
1533059192.581,658.471879430762,1143.8406902261536,618.9492745812404,373.340656926288,899.2296381872602
1533059192.585,615.3946331985507,1072.35522244978,707.3912949748853,405.51905965066453,845.3815050149659
1533059192.589,498.46347739326785,1054.456403329121,760.4492638023586,495.6344062397012,699.998162054298
1533059192.593,473.8497085543244,1072.35522244978,848.8550671524349,540.6920795342195,850.7685238670375
1533059192.5970001,646.1586934831697,1072.35522244978,990.3188393299847,514.9467208612546,1076.9240665861469
1533059192.601,676.9227537677888,1000.8697546734063,1025.702890896156,553.5713501043612,918.0759334138527
1533059192.605,640.0084020374941,982.9709355527474,1061.0507254187598,662.9858288476327,969.2278002415584
1533059192.6079998,590.7808643596073,1018.731970891978,1007.9927565912865,669.4320553663628,1297.6925904531847
1533059192.6120002,572.3173869663394,1000.8697546734063,901.9130359799082,630.807426123256,1203.4611143202224
1533059192.6160002,750.7766633408602,1054.456403329121,937.2608705025115,656.552784796221,1009.6166570393318
1533059192.62,701.5491256629733,1000.8697546734063,1202.5507146398775,560.0043941557728,891.1518668277055
1533059192.6239998,566.1544924644227,982.9709355527474,1237.8985491624808,579.3167087773262,721.540723625479
1533059192.6279998,473.8497085543244,965.1087193341758,1273.2826007286524,605.0620674502911,1044.6129811479282
1533059192.6320002,498.46347739326785,786.3767484421979,1290.9565179899541,637.2404701746677,1235.7666859213357
