timestamps,TP9,AF7,AF8,TP10,Right AUX
1533223026.801,737.4524997931776,318.9544814641014,1192.907295213712,654.1879399754491,577.6956546565408
1533223026.805,707.2897443675372,327.20412951665884,790.7574049923387,647.338226820653,577.6956546565408
1533223026.809,735.9422000386069,324.4561238854998,647.1329244335858,654.1879399754491,543.3467709701364
1533223026.813,803.8068554725202,318.9544814641014,892.5260789895864,654.1879399754491,440.30011991092323
1533223026.8170002,849.0479000634256,338.2017832003754,1224.5042103067349,662.7527118771452,565.2057328841431
1533223026.821,805.3140666795356,332.700140778977,1156.3855743530714,661.0376531302454,983.6468908810598
1533223026.825,714.8288889501696,321.70248709526044,638.5153547507957,659.3261016609466,533.9777308285272
1533223026.829,734.4349888315915,343.7034256217739,560.9572276056854,674.7405867174388,212.34146062924677
1533223026.832,782.693544384083,338.2017832003754,820.3028779558814,681.590299872235,262.3075429680807
1533223026.836,809.8387888481373,327.20412951665884,1084.1623733193665,700.4278878673248,427.81019813852555
1533223026.84,820.3954443923559,340.9497888315345,1286.8786402157455,712.4157627076185,774.4263118826013
1533223026.8439999,751.0235777514271,338.2017832003754,903.6052111456446,703.8509908059224,799.4061554273967
1533223026.8479998,738.959711000193,307.9568277803848,702.9412267892866,717.5539243931158,918.0700051390396
1533223026.8520002,787.2182665526846,327.20412951665884,892.5260789895864,746.6643284815995,696.3595043681835
1533223026.856,802.2996442655048,321.70248709526044,1199.472582356481,731.2533507027082,527.7359675669502
1533223026.86,775.1543998014505,310.70483341154386,1305.3449810232298,715.838865646216,805.6543139382172
1533223026.8639998,763.0874445026611,332.700140778977,897.4500443466634,717.5539243931158,680.7423057157539
1533223026.8679998,784.2007555910984,316.20647583294226,574.499603056093,726.1151890172108,471.5217267172956
1533223026.871,817.3779334307696,321.70248709526044,727.9728547395403,739.8146153268033,749.4464683378061
1533223026.875,835.4768221051761,324.4561238854998,1179.3649197633044,751.8024901670968,986.7677725118483
1533223026.879,788.7254777597,329.9521351478179,1345.5594657990428,760.3672620687929,790.0371152857875
1533223026.883,720.8608223257867,340.9497888315345,974.1870903936573,729.5417992334094,615.1654199737337
1533223026.887,707.2897443675372,327.20412951665884,719.3552850567502,712.4157627076185,846.2449608861988
1533223026.891,737.4524997931776,313.4584702017832,808.4026647017068,717.5539243931158,943.0498486838349
1533223026.895,773.6441000468798,329.9521351478179,1121.0942145237948,712.4157627076185,927.4390452806487
1533223026.899,758.5627223340595,327.20412951665884,1284.4162373319366,717.5539243931158,1177.2502712270884
1533223026.9029999,726.895844248959,313.4584702017832,933.1515245197279,708.9891524914199,1027.3648147090732
1533223026.907,713.3216777431542,296.9591740966682,647.5430447773738,681.590299872235,724.4602295437674
1533223026.911,690.7011554477015,269.4622243078367,826.8690055091912,693.5781747125286,1149.1495460515046
1533223026.914,722.3711220803574,258.46457062412014,917.5577069398402,712.4157627076185,843.1240792554103
1533223026.918,744.9916443758101,272.2102299389958,1032.0468348788384,700.4278878673248,355.9851538856848
1533223026.9220002,692.2083666547169,288.70952604411076,1087.445016890751,693.5781747125286,590.1855764289384
1533223026.926,642.44259989521,310.70483341154386,777.6259902962597,679.8752411253352,821.2651173414034
1533223026.93,652.9992554394286,313.4584702017832,766.5460177296609,686.7284615577324,711.9703077713697
1533223026.934,696.7330888233186,307.9568277803848,1033.6881566645307,698.716336398026,696.3595043681835
1533223026.938,701.2578109919201,299.70717972782734,1298.77885346992,698.716336398026,993.0095357734255
1533223026.9420002,665.0631221906626,272.2102299389958,1115.3491680686016,698.716336398026,902.4528064866099
1533223026.946,633.3931555580068,272.2102299389958,727.9728547395403,685.0134028108326,1033.6065779706503
1533223026.95,640.9353886881946,269.4622243078367,700.4788239054778,688.4400130270312,896.2110432250327
1533223026.954,708.7969555745526,269.4622243078367,1015.2226562675867,698.716336398026,924.3117684006166
1533223026.957,711.8144665361388,299.70717972782734,1199.8827027002692,717.5539243931158,605.802775081368
1533223026.961,651.4889556848578,294.21116846550916,933.1515245197279,729.5417992334094,49.966082338833914
1533223026.965,648.474533270827,294.21116846550916,623.7426182690244,715.838865646216,334.12619197167805
1533223026.9689999,693.7155778617323,291.4575316752698,727.9728547395403,702.1394393366236,537.0986124593159
1533223026.9729998,726.895844248959,307.9568277803848,1050.1030553425348,702.1394393366236,905.5800833666419
1533223026.9770002,740.4669222072084,329.9521351478179,1346.7906672409472,705.5660495528223,1339.6320447667447
