timestamps,TP9,AF7,AF8,TP10,Right AUX
1533058199.795,1080.348042262275,848.003588878378,609.4436189532773,1197.1259335565283,882.1478303316806
1533058199.799,1153.178371659416,840.0081920049932,586.8713884761435,1219.7579191346895,1074.8359581738305
1533058199.803,1158.0360472343073,792.0030427447118,625.5638104672281,1204.6716456348183,873.1146108984406
1533058199.8070002,1206.5879428216285,704.0045251075201,693.2805018986298,1265.0270409477207,472.6871001721347
1533058199.811,1179.8831572405222,840.0081920049932,661.0401188707282,1270.0592325521502,867.0965752896744
1533058199.815,1143.4679925419516,888.0133412652747,651.3653623906225,1222.2765902652586,1195.2706625902422
1533058199.819,1148.325668116843,896.0087381386594,661.0401188707282,1179.520988926088,1074.8359581738305
1533058199.823,1206.5879428216285,968.0000780190952,644.9133234274394,1131.7331959824876,1050.7514836985845
1533058199.8270001,1279.423244251088,864.0107666351339,741.6542842991581,1141.7975791913468,671.3994296431416
1533058199.83,1199.308887507769,824.0010142482373,760.9971933300315,1182.0345093999483,827.9546797523316
1533058199.8339999,1128.8999378495962,952.0092842723257,722.3047713389468,1184.5480298738087,993.5493153148524
1533058199.8379998,1167.7464263517716,911.999531885429,719.0820538220242,1187.0667010043778,511.8289957094777
1533058199.842,1245.434431323804,888.0133412652747,767.4492322932145,1194.612413082668,746.6680368933536
1533058199.846,1252.7184586699816,920.0113127688002,819.0391282813275,1217.2443986608291,915.2655242401664
1533058199.85,1141.0416407706653,880.0015603819035,802.9189367673767,1169.4617563739375,936.3409809110294
1533058199.8539999,1104.6264760720946,880.0015603819035,770.6719498101371,1116.6469224826164,1267.5240860159802
1533058199.8579998,1102.19515226849,872.0061635085187,738.4249628528976,1119.1604429564768,734.6196336356396
1533058199.8620002,1116.7632069608453,904.0041350120442,690.0577843817073,1104.0690187998969,475.6961179765177
1533058199.8660002,1216.303293971411,920.0113127688002,683.612349347862,1114.1282513520473,927.3077614777894
1533058199.87,1165.320074580485,824.0010142482373,751.3224368499258,1116.6469224826164,930.3229453022634
1533058199.873,1087.6320696084526,768.000468114571,735.202245335975,1126.7061550347667,671.3994296431416
1533058199.877,1102.19515226849,768.000468114571,677.160310384679,1121.6739634303372,921.2897258690234
1533058199.881,1153.178371659416,784.007645871327,673.9375928677564,1104.0690187998969,1053.7605015029674
1533058199.885,1213.8719701678062,792.0030427447118,715.8527323757637,1111.6147308781867,1168.1710042905222
1533058199.889,1199.308887507769,800.0148236280829,686.8350668647846,1146.8246201390675,1138.0623281864193
1533058199.893,1182.314481044127,808.0102205014678,654.5880799075451,1212.2122070563996,788.8189502350796
1533058199.897,1162.8887507768802,800.0148236280829,615.8956579164604,1182.0345093999483,806.8792230814686
1533058199.901,1192.0248601615913,816.0056173748525,625.5638104672281,1174.4887973216582,716.5593607892506
1533058199.905,1301.2703542573029,800.0148236280829,699.7325408618129,1222.2765902652586,728.6015980268736
1533058199.909,1291.5599751398386,768.000468114571,696.5098233448904,1202.1529745042492,701.5019397271536
