TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-07-23 21:44:30.496,0.2402423,0.2847097,0.701661,0.5355573,0.34617236,-0.16413985,0.27662477,0.5915393,0.7087685,-0.047411323,0.27954406,1.0303156,0.61574525,-0.06480709,-0.08853902,0.353585,0.43783325,-0.34444198,-0.16458054,-0.30234644,816.337,811.9048,796.1905,804.65204,805.8608,-0.16253662109375,0.07232666015625,0.9716796875,3.207550048828125,-2.213134765625,2.76641845703125,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 21:44:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 21:44:31.523,0.3989895,0.44207373,0.70765173,0.6441786,0.48534635,0.26903388,0.2603955,0.5279468,0.60653436,0.2807378,0.29889914,0.64351404,0.507727,0.035986826,-0.07052378,0.3599009,0.56343246,-0.28266126,-0.011412616,-0.10236232,812.71063,810.293,813.91943,815.5311,778.46155,-0.16668701171875,0.06988525390625,0.98193359375,2.474822998046875,-2.55706787109375,2.213134765625,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:32.533,0.3989895,0.28155395,-0.39469916,0.49175355,0.48534635,0.44733188,-0.09810876,0.34973118,0.60653436,0.31707793,0.14392325,0.53458124,0.507727,0.021067834,0.07420881,0.33029187,0.56343246,-0.12259922,-0.005746933,-0.037072357,799.011,807.47253,805.8608,804.2491,859.45056,-0.1744384765625,0.06915283203125,0.96795654296875,2.9608154296875,-2.70660400390625,2.43743896484375,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-07-23 21:44:33.551,0.9077243,0.24756072,0.23580588,0.38428238,-0.25214764,-0.22144453,-0.09084987,0.27115664,0.555878,0.18165687,0.044880457,0.50276655,1.0807644,0.11941534,0.021315277,0.70554197,0.6580631,-0.10922324,-0.19232817,-0.050183088,797.8022,799.011,817.9487,809.89014,850.18317,-0.16937255859375,0.07666015625,0.97808837890625,2.91595458984375,-2.46734619140625,2.833709716796875,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:34.563,0.9677106,0.90290964,0.8493379,0.3939647,-0.19788022,0.49889708,0.011647075,0.40583426,0.555878,0.42083314,0.14094108,0.483975,1.0907916,0.036558177,-0.07510171,0.7158394,0.6960972,0.09033461,0.018799912,-0.15434437,810.696,796.1905,792.5641,808.2784,799.011,-0.17230224609375,0.0745849609375,0.9720458984375,2.51220703125,-2.52716064453125,2.699127197265625,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:35.577,0.8122607,0.35368448,0.84606993,0.39998806,0.69154894,-0.15760802,0.22454314,0.2911192,0.6551375,-0.26636282,0.4537131,0.9296871,0.7288634,0.083817884,-0.05935401,0.3396072,0.4510452,0.3081802,0.05505572,0.09543569,824.3956,788.5348,791.75824,826.8132,761.13556,-0.1734619140625,0.07550048828125,0.97344970703125,2.51220703125,-1.6448974609375,2.743988037109375,1,1.0,1.0,1.0,1.0,20.00
2021-07-23 21:44:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
